,id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,city,zipcode,market,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,len_name,len_host_about,len_summary,len_description,len_neighborhood_overview,len_transit,count_amenities,count_host_verifications,amenities_wireless internet,amenities_heating,amenities_kitchen,amenities_essentials,amenities_smoke detector,amenities_air conditioning,amenities_tv,amenities_internet,amenities_dryer,amenities_washer,amenities_carbon monoxide detector,amenities_shampoo,amenities_hangers,amenities_family/kid friendly,amenities_laptop friendly workspace,amenities_iron,amenities_hair dryer,amenities_cable tv,amenities_fire extinguisher,amenities_24-hour check-in,amenities_first aid kit,amenities_elevator in building,amenities_buzzer/wireless intercom,amenities_free parking on premises,amenities_pets allowed,amenities_gym,amenities_lock on bedroom door,amenities_safety card,amenities_pets live on this property,amenities_indoor fireplace,amenities_breakfast,amenities_doorman,amenities_dog(s),amenities_cat(s),amenities_hot tub,amenities_pool,amenities_wheelchair accessible,amenities_suitable for events,amenities_smoking allowed,amenities_other pet(s),amenities_free parking on street,amenities_paid parking off premises,amenities_washer / dryer,host_verifications_phone,host_verifications_email,host_verifications_reviews,host_verifications_jumio,host_verifications_kba,host_verifications_facebook,host_verifications_manual_offline,host_verifications_google,host_verifications_linkedin,host_verifications_amex,host_verifications_manual_online,host_verifications_weibo,host_verifications_sent_id
0,12147973,2015-04-15,"Boston, Massachusetts, United States",,,,0,Roslindale,1,1,0,Roslindale,Boston,02131,Boston,"Boston, MA",1,House,Entire home/apt,4,1.5,2.0,3.0,Real Bed,250.0,35.0,1,0.0,2,More than a week,2 weeks ago,0,0,0,0,0,,,,,,,,,,0,moderate,0,0,1,,26,180.0,249.0,1000,397.0,267.0,15,4,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
1,3075044,2012-06-07,"Boston, Massachusetts, United States",within an hour,100.0,100.0,0,Roslindale,1,1,1,Roslindale,Boston,02131,Boston,"Boston, MA",1,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,65.0,10.0,0,0.0,2,More than a week,a week ago,26,54,84,359,36,2014-06-01,2016-08-13,94.0,10.0,9.0,10.0,10.0,9.0,9.0,1,moderate,0,0,1,1.3,33,77.0,247.0,1000,355.0,538.0,21,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0
2,6976,2009-05-11,"Boston, Massachusetts, United States",within a few hours,100.0,88.0,1,Roslindale,1,1,1,Roslindale,Boston,02131,Boston,"Boston, MA",1,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,65.0,,1,20.0,3,More than a week,5 days ago,19,46,61,319,41,2009-07-19,2016-08-05,98.0,10.0,9.0,10.0,10.0,9.0,10.0,0,moderate,1,0,1,0.47,32,1075.0,244.0,1000,953.0,1000.0,18,4,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
3,1436513,2013-04-21,"Boston, Massachusetts, United States",within a few hours,100.0,50.0,0,,1,1,0,Roslindale,Boston,,Boston,"Boston, MA",0,House,Private room,4,1.0,1.0,2.0,Real Bed,75.0,50.0,2,25.0,1,More than a week,a week ago,6,16,26,98,1,2016-08-28,2016-08-28,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,0,0,1,1.0,45,1293.0,493.0,1000,1000.0,250.0,23,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
4,7651065,2014-05-11,"Boston, Massachusetts, United States",within an hour,100.0,100.0,1,Roslindale,1,1,1,Roslindale,Boston,02131,Boston,"Boston, MA",1,House,Private room,2,1.5,1.0,2.0,Real Bed,79.0,15.0,1,0.0,2,More than a week,2 weeks ago,13,34,59,334,29,2015-08-18,2016-09-01,99.0,10.0,10.0,10.0,10.0,9.0,10.0,0,flexible,0,0,1,2.25,19,557.0,245.0,1000,720.0,1000.0,14,4,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
5,12386020,2016-03-23,"Boston, Massachusetts, United States",within a few hours,100.0,95.0,1,Roslindale,2,1,1,Roslindale,Boston,02131,Boston,"Boston, MA",1,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,75.0,30.0,1,0.0,2,More than a week,2 weeks ago,5,28,58,58,8,2016-04-20,2016-08-28,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0,flexible,0,0,1,1.7,30,0.0,312.0,1000,255.0,375.0,13,4,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
6,5706985,2013-05-25,"Milton, Massachusetts, United States",within an hour,98.0,96.0,0,Roslindale,5,1,1,Roslindale,Boston,02131,Boston,"Boston, MA",0,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,100.0,,1,25.0,1,More than a week,3 days ago,22,39,69,344,57,2015-07-08,2016-09-01,90.0,10.0,10.0,10.0,10.0,9.0,9.0,0,strict,0,0,3,4.0,35,236.0,416.0,1000,191.0,222.0,13,5,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
7,2843445,2012-08-05,"Boston, Massachusetts, United States",within a few hours,100.0,100.0,1,Roslindale,2,1,1,Roslindale,Boston,02131,Boston,"Boston, MA",1,House,Private room,2,2.0,1.0,1.0,Real Bed,75.0,10.0,1,15.0,1,More than a week,yesterday,30,60,90,365,67,2014-05-18,2016-09-04,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1,1,2,2.38,34,343.0,488.0,1000,540.0,89.0,23,5,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
8,753446,2012-10-24,"Boston, Massachusetts, United States",within an hour,100.0,100.0,1,Roslindale,1,1,1,Roslindale,Roslindale,02131,Boston,"Roslindale, MA",1,Condominium,Private room,2,1.0,1.0,2.0,Real Bed,58.0,,2,0.0,2,More than a week,today,12,42,72,347,65,2015-09-10,2016-08-30,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0,moderate,0,0,1,5.36,34,28.0,228.0,1000,1000.0,0.0,10,5,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
9,849408,2012-12-18,"Boston, Massachusetts, United States",within an hour,100.0,100.0,1,Roslindale,2,1,1,Roslindale,Boston,02131,Boston,"Boston, MA",1,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,229.0,50.0,4,25.0,4,More than a week,today,20,50,80,107,33,2014-01-02,2016-05-27,94.0,10.0,9.0,10.0,10.0,9.0,9.0,0,strict,0,0,2,1.01,33,456.0,236.0,1000,309.0,352.0,22,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
